trade_date,code,name,required_from_time,required_to_time,group,event_count,missing_reason
2026-05-06,003470,"유안타증권",09:00,15:30,D_EXCLUDED_PLUS8,1,first_bar_09:02
2026-05-06,007610,"선도전기",09:00,15:30,D_EXCLUDED_PLUS8,1,first_bar_09:02
2026-05-06,011790,"SKC",09:00,15:30,A_ATTACK|B_SURVIVOR_1000,2,first_bar_09:02
2026-05-06,015860,"일진홀딩스",09:00,15:30,B_SURVIVOR_1000,1,last_bar_10:00
2026-05-06,024840,"KBI메탈",09:00,15:30,D_EXCLUDED_PLUS8,1,first_bar_09:02
2026-05-06,183300,"코미코",09:00,15:30,D_EXCLUDED_PLUS8,1,first_bar_09:02
2026-05-06,189860,"서전기전",09:00,15:30,D_EXCLUDED_PLUS8,1,last_bar_10:00
2026-05-06,321260,"프로이천",09:00,15:30,D_EXCLUDED_PLUS8,1,first_bar_09:02
2026-05-06,425040,"티이엠씨",09:00,15:30,D_EXCLUDED_PLUS8,1,first_bar_09:02
2026-05-07,004800,"효성",09:00,15:30,D_EXCLUDED_PLUS8,1,first_bar_09:02
2026-05-07,006360,"GS건설",09:00,15:30,D_EXCLUDED_PLUS8,1,first_bar_09:02
2026-05-07,078150,"HB테크놀러지",09:00,15:30,D_EXCLUDED_PLUS8,1,first_bar_09:02
2026-05-08,086960,"MDS테크",09:00,15:30,D_EXCLUDED_PLUS8,1,first_bar_09:02
2026-05-08,319400,"현대무벡스",09:00,15:30,A_ATTACK|B_SURVIVOR_1000,2,first_bar_09:02
2026-05-11,004150,"한솔홀딩스",09:00,15:30,D_EXCLUDED_PLUS8,1,last_bar_09:30
2026-05-11,004710,"한솔테크닉스",09:00,15:30,D_EXCLUDED_PLUS8,1,last_bar_09:30
2026-05-11,024840,"KBI메탈",09:00,15:30,D_EXCLUDED_PLUS8,1,first_bar_09:02
2026-05-11,067170,"오텍",09:00,15:30,D_EXCLUDED_PLUS8,1,first_bar_09:02
2026-05-11,083450,"GST",09:00,15:30,D_EXCLUDED_PLUS8,1,first_bar_09:02
